pid,nameAttested,nameLanguage,nameTransliterated
265876,['unknown'],['unknown'],['Consabura']
265876,['unknown'],['unknown'],['Consabrum']
265876,['unknown'],['unknown'],['Kondabora']
265876,['Consaburrenses'],['la'],['Consaburrenses']
265877,['Contestania'],['la'],['Contestania']
265877,['unknown'],['unknown'],['Contestani']
265880,['unknown'],['unknown'],['Dianium']
265880,['unknown'],['unknown'],['Hemeroskopeion']
265880,['Dénia'],['ca-valencia'],"['Denia', 'Dénia']"
265882,['unknown'],['unknown'],['Ebura']
265882,['unknown'],['unknown'],['Cerialis']
265883,['unknown'],['unknown'],['Ebusus']
265884,['unknown'],['la'],['Ebusus']
265886,['unknown'],['unknown'],['Edeba']
265887,['unknown'],['unknown'],['Edeta']
265887,['unknown'],['unknown'],['Leiria']
265888,['regio Edetania'],['la'],['Edetania']
265888,['unknown'],['unknown'],['Edetani']
265888,['unknown'],['unknown'],['Sedetani']
265891,['unknown'],['unknown'],['Eliocroca']
265893,['unknown'],['unknown'],['Epora']
265893,['unknown'],['unknown'],['Epora Foederatorum']
265894,['unknown'],['unknown'],['Etobesa']
265894,['unknown'],['unknown'],['Etouissa']
265896,['Villa del Faro'],['es'],['Villa del Faro']
265897,['unknown'],['unknown'],['Ferrarium']
265897,['unknown'],['akk'],['Tenebrium']
265898,['unknown'],['unknown'],['Ficariensis Locus']
265899,['unknown'],['unknown'],['Fortuna']
265900,['unknown'],['unknown'],['Fraxinum']
265906,['unknown'],['la'],['Guium']
265906,['unknown'],['unknown'],['Cinium']
265916,['unknown'],['unknown'],['Iamo']
265916,['unknown'],['unknown'],['Iamna']
265917,['unknown'],['unknown'],['Iaspis']
265917,['unknown'],['unknown'],['Aspis']
265919,['unknown'],['unknown'],['Igabrum']
265919,['unknown'],['unknown'],['Egabrum']
265919,['unknown'],['unknown'],['Municipium Iulium']
265919,['Cabra'],['es'],['Cabra']
265920,['unknown'],['unknown'],['Ildum']
265921,['unknown'],['la'],['Iliberri']
265921,['unknown'],['unknown'],['Elvira']
265921,['unknown'],['unknown'],['Municipium Florentinum']
265921,['Granada'],['es'],['Granada']
265922,['unknown'],['ar'],['Ilsh']
265922,['unknown'],['unknown'],['Ilici']
265922,['unknown'],['unknown'],['Helike']
265922,['unknown'],['unknown'],['Ecclesia Elotana']
265922,['unknown'],['unknown'],['Elche']
265923,['unknown'],['unknown'],['Ilicitanus Sinus']
265924,['unknown'],['unknown'],['Iliturgi']
265924,['unknown'],['unknown'],['Forum Iulium']
265925,['unknown'],['unknown'],['Iliturgicola']
265926,['unknown'],['unknown'],['Illikitanos Limen']
265927,['unknown'],['unknown'],['Ilorci']
265927,['unknown'],['unknown'],['Ilourgeia']
265928,['unknown'],['unknown'],['Ilounon']
265929,['unknown'],['unknown'],['Ilugo']
265930,['unknown'],['unknown'],['Ilurco']
265935,['unknown'],['unknown'],['Ipolcobulcola']
265935,['unknown'],['unknown'],['Municipium Polconensium']
265936,['unknown'],['unknown'],['Iponuba']
265936,['unknown'],['unknown'],['Hippo Nova']
265937,['unknown'],['unknown'],['Ipsca']
265937,['unknown'],['unknown'],['Municipium Contributum Ipscense']
265938,['unknown'],['unknown'],['Iptuci']
265938,['unknown'],['unknown'],['Ituci']
265938,['unknown'],['unknown'],['Col. Virtus Iulia']
265939,['unknown'],['unknown'],['Isturgi']
265939,['unknown'],['la'],['Municipium Triumphale']
265946,['unknown'],['unknown'],['Laminium']
265949,['unknown'],['unknown'],['Libisosa']
265949,['unknown'],['unknown'],['Colonia Forum Augustum']
265951,['unknown'],['unknown'],['Lobetanoi']
265952,['unknown'],['unknown'],['Longuntica']
265954,['Lucentum'],['la'],['Lucentum']
265954,['Ἄκρα Λευκὴ'],['grc'],['Akra Leuke']
265954,['unknown'],['unknown'],['Castrum Album']
265958,['unknown'],['unknown'],['Maenuba']
265958,['unknown'],['unknown'],['Mainake']
265959,['unknown'],['unknown'],['Maenuba']
265959,['unknown'],['unknown'],['Menova']
265959,['unknown'],['unknown'],['Maenoba']
265960,['unknown'],['unknown'],['Mago']
265961,['unknown'],['unknown'],['Mainake']
265963,['unknown'],['la'],['Malaca']
265964,['unknown'],['unknown'],['Malaca']
265965,['unknown'],['unknown'],['Mariana']
265966,['unknown'],['unknown'],['Marianus M.']
265967,['unknown'],['unknown'],['Marruca']
265969,['unknown'],['unknown'],['Mentesa']
265970,['unknown'],['unknown'],['Mentesa Bastia']
265975,['Morana'],['es'],['Morana']
265977,['unknown'],['unknown'],['Murgi']
265982,['unknown'],['unknown'],['Obulco']
265982,['unknown'],['unknown'],['Municipium Pontificense']
265982,['Porcuna'],['es'],['Porcuna']
265983,['unknown'],['unknown'],['Ocules']
265983,['Vcles'],['es'],['Vcles']
265983,['Uclés'],['es'],['Uclés']
265984,['unknown'],['unknown'],['Olcades']
265985,['unknown'],['unknown'],['Onuba']
265987,['unknown'],['unknown'],['Opta']
265988,['unknown'],['la'],['Oretana Iuga']
265989,['unknown'],['unknown'],['Oretania']
265989,['unknown'],['unknown'],['Oretani']
265989,['Ὠρητανοί'],['grc'],['Oretanoi']
265990,['unknown'],['unknown'],['Oretum']
265990,['unknown'],['unknown'],['Oria']
265990,['unknown'],['unknown'],['Horetum']
265992,['unknown'],['unknown'],['Orospeda M.']
265994,['unknown'],['unknown'],['Ossigi']
265994,['unknown'],['unknown'],['Municipium Latonium']
265998,['unknown'],['unknown'],['Palma']
265999,['unknown'],['unknown'],['Parietinae']
266001,['Pityussae'],['la'],['Pityussae']
266002,['unknown'],['unknown'],['Planesia']
266004,['unknown'],['unknown'],['Pollentia']
266005,['unknown'],['unknown'],['Portos Magnos']
266006,['unknown'],['unknown'],['Portus Sucronis']
266017,['unknown'],['unknown'],['Sacili']
266017,['unknown'],['unknown'],['Municipium Martiale']
266018,['unknown'],['la'],['Saetabis']
266019,['unknown'],['unknown'],['Saetabis']
266021,['Saguntum'],['la'],['Saguntum']
266021,['unknown'],['unknown'],['Arse']
266022,['unknown'],['unknown'],['Salaria']
266022,['unknown'],['unknown'],['Col. Salariensis']
266022,['Vbeda'],['es'],['Vbeda']
266022,['Úbeda'],['es'],['Úbeda']
266023,['unknown'],['unknown'],['Salika']
266025,['unknown'],['unknown'],['Saltigi']
266026,['Sanisera'],['la'],['Sanisera']
266030,['unknown'],['unknown'],['Saturni']
266030,['unknown'],['unknown'],['Scombraria Pr.']
266032,['unknown'],['unknown'],['Scombraria']
266032,['unknown'],['unknown'],['Hercules']
266034,['unknown'],['unknown'],['Sebelaci']
266035,['unknown'],['unknown'],['Segisa']
266036,['unknown'],['unknown'],['Segobriga']
266037,['unknown'],['unknown'],['Selambina']
266037,['unknown'],['unknown'],['Sel']
266038,['unknown'],['unknown'],['Sexi']
266038,['unknown'],['unknown'],['Saxetanum']
266038,['unknown'],['unknown'],['Caesarea']
266038,['unknown'],['unknown'],['Firmum Iulium']
