pid,nameAttested,nameLanguage,nameTransliterated
265883,['unknown'],['unknown'],['Ebusus']
265884,['unknown'],['la'],['Ebusus']
265886,['unknown'],['unknown'],['Edeba']
265891,['unknown'],['unknown'],['Eliocroca']
265896,['Villa del Faro'],['es'],['Villa del Faro']
265898,['unknown'],['unknown'],['Ficariensis Locus']
265899,['unknown'],['unknown'],['Fortuna']
265900,['unknown'],['unknown'],['Fraxinum']
265920,['unknown'],['unknown'],['Ildum']
265923,['unknown'],['unknown'],['Ilicitanus Sinus']
265925,['unknown'],['unknown'],['Iliturgicola']
265926,['unknown'],['unknown'],['Illikitanos Limen']
265928,['unknown'],['unknown'],['Ilounon']
265929,['unknown'],['unknown'],['Ilugo']
265930,['unknown'],['unknown'],['Ilurco']
265946,['unknown'],['unknown'],['Laminium']
265951,['unknown'],['unknown'],['Lobetanoi']
265952,['unknown'],['unknown'],['Longuntica']
265960,['unknown'],['unknown'],['Mago']
265961,['unknown'],['unknown'],['Mainake']
265963,['unknown'],['la'],['Malaca']
265964,['unknown'],['unknown'],['Malaca']
265965,['unknown'],['unknown'],['Mariana']
265966,['unknown'],['unknown'],['Marianus M.']
265967,['unknown'],['unknown'],['Marruca']
265969,['unknown'],['unknown'],['Mentesa']
265970,['unknown'],['unknown'],['Mentesa Bastia']
265975,['Morana'],['es'],['Morana']
265977,['unknown'],['unknown'],['Murgi']
265984,['unknown'],['unknown'],['Olcades']
265985,['unknown'],['unknown'],['Onuba']
265987,['unknown'],['unknown'],['Opta']
265988,['unknown'],['la'],['Oretana Iuga']
265992,['unknown'],['unknown'],['Orospeda M.']
265998,['unknown'],['unknown'],['Palma']
265999,['unknown'],['unknown'],['Parietinae']
266001,['Pityussae'],['la'],['Pityussae']
266002,['unknown'],['unknown'],['Planesia']
266004,['unknown'],['unknown'],['Pollentia']
266005,['unknown'],['unknown'],['Portos Magnos']
266006,['unknown'],['unknown'],['Portus Sucronis']
266018,['unknown'],['la'],['Saetabis']
266019,['unknown'],['unknown'],['Saetabis']
266023,['unknown'],['unknown'],['Salika']
266025,['unknown'],['unknown'],['Saltigi']
266026,['Sanisera'],['la'],['Sanisera']
266034,['unknown'],['unknown'],['Sebelaci']
266035,['unknown'],['unknown'],['Segisa']
266036,['unknown'],['unknown'],['Segobriga']
266046,['unknown'],['unknown'],['Solorius M.']
266047,['unknown'],['unknown'],['Sorobis']
266050,['unknown'],['unknown'],['Spartarius Campus']
266052,['Sucro oppidum'],['la'],['Sucro']
266053,['Sucro fluvius'],['la'],['Sucro']
266054,['unknown'],['unknown'],['Sucronensis Sinus']
266055,['unknown'],['unknown'],['Suel']
266057,['unknown'],['unknown'],['Tader']
266059,['unknown'],['unknown'],['Tagonios']
266063,['unknown'],['unknown'],['Thiar']
266071,['unknown'],['unknown'],['Tuci']
266072,['unknown'],['unknown'],['Tugia']
266073,['unknown'],['unknown'],['Tugiensis Saltus']
266074,['unknown'],['unknown'],['Turaniana']
266076,['unknown'],['unknown'],['Turia']
266078,['unknown'],['unknown'],['Tutugi']
266085,['unknown'],['unknown'],['Urci']
266086,['unknown'],['unknown'],['Urcitanus Sinus']
266090,['unknown'],['unknown'],['Valentia']
266092,['unknown'],['unknown'],['Valeria']
266093,['unknown'],['unknown'],['Vergilia']
266094,['unknown'],['unknown'],['Vicus Cuminarius']
266097,['unknown'],['unknown'],['Viniolae']
270292,['unknown'],['unknown'],['Adiungi']
270293,['unknown'],['unknown'],['Aimiliana']
270295,['unknown'],['unknown'],['Alternia']
270297,['unknown'],['unknown'],['Amtorgis']
270298,['unknown'],['unknown'],['Andura']
270301,['unknown'],['unknown'],['Barnakis']
270303,['unknown'],['unknown'],['Beleia']
270304,['unknown'],['unknown'],['Bergoula']
270305,['unknown'],['unknown'],['Bernaba']
270316,['unknown'],['la'],['Hannibalis']
270318,['unknown'],['unknown'],['Hyops']
270321,['unknown'],['unknown'],['Icositani']
270323,['unknown'],['unknown'],['Ilarkouris']
270324,['unknown'],['unknown'],['Ileosca']
270325,['unknown'],['unknown'],['Ilourbida']
270326,['unknown'],['unknown'],['Ispinon']
270327,['unknown'],['unknown'],['Istonion']
270329,['unknown'],['unknown'],['Kallikoula']
270330,['unknown'],['unknown'],['Karka']
270331,['unknown'],['unknown'],['Kerouaria']
270332,['unknown'],['unknown'],['Krabrasia']
270334,['unknown'],['unknown'],['Laccuris']
270336,['unknown'],['unknown'],['Lauro']
270337,['unknown'],['unknown'],['Laxta']
270339,['unknown'],['unknown'],['Libana']
270341,['unknown'],['unknown'],['Loupparia']
270342,['unknown'],['unknown'],['Lyco']
270346,['unknown'],['unknown'],['Mediolon']
270347,['unknown'],['unknown'],['Mellaria']
270348,['unknown'],['la'],['Menariae']
270349,['unknown'],['unknown'],['Meterkosa']
270350,['unknown'],['unknown'],['Molybdina']
270352,['unknown'],['unknown'],['Nobila']
270355,['unknown'],['unknown'],['Oinoussa']
270356,['unknown'],['unknown'],['Orkelis']
270358,['unknown'],['unknown'],['Ourkesa']
270360,['unknown'],['unknown'],['Pallantia']
270361,['unknown'],['unknown'],['Paterniana']
270362,['unknown'],['unknown'],['Plumbaria']
270363,['unknown'],['unknown'],['Poukialia']
270365,['unknown'],['unknown'],['Ripa']
270367,['unknown'],['unknown'],"['S. Martini', 'Mon.']"
270368,['unknown'],['unknown'],['Saitabikoula']
270370,['unknown'],['unknown'],['Salduba']
270371,['unknown'],['unknown'],['Salduba']
270373,['unknown'],['unknown'],['Soricaria']
270376,['unknown'],['la'],['Tiquadra']
270377,['unknown'],['unknown'],['Tourboula']
270381,['unknown'],['unknown'],['Urbiaca']
270382,['unknown'],['unknown'],['Urgapa']
270384,['unknown'],['unknown'],['Valebonga']
270386,['unknown'],['unknown'],['Vescelia']
271047,['unknown'],['unknown'],['Alebus']
271048,['unknown'],['unknown'],['Barbetium Iugum']
271049,['unknown'],['unknown'],['Berybraces']
271050,['unknown'],['unknown'],['Crabrasiae Iugum']
271051,['unknown'],['unknown'],['Gymnetes']
271052,['unknown'],['unknown'],['Herna']
271053,['unknown'],['unknown'],['Hiberi']
271054,['unknown'],['unknown'],['Hylactes Civitas']
271055,['unknown'],['unknown'],['Hystra Civitas']
271056,['unknown'],['unknown'],['Ilerda']
271057,['Libyphoenices'],['la'],['Libyphoenices']
271059,['unknown'],['unknown'],['Malachae']
271060,['unknown'],['unknown'],['Massiena Urbs']
271061,['unknown'],['unknown'],['Massieni']
271062,['unknown'],['unknown'],['Menace']
271063,['unknown'],['unknown'],['Minervae']
271064,['unknown'],['unknown'],['Naccararum Palus']
271065,['unknown'],['unknown'],['Namnatius Portus']
271066,['unknown'],['unknown'],['Noctilucae']
271067,['unknown'],['unknown'],['Phoenices']
271069,['unknown'],['unknown'],['Sardum Mare']
